"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"0400000US01","Alabama","1888504","5749","8.1","0.2","5.6","0.1","10.9","0.2","10.5","0.2","13.2","0.2","17.5","0.2","11.8","0.2","13.1","0.2","4.9","0.1","4.4","0.1","52035","377","71964","524","37.8","(X)","(X)","(X)","(X)","(X)","1234552","7117","4.6","0.1","2.8","0.1","7.7","0.2","9.0","0.2","12.6","0.3","19.0","0.3","14.3","0.3","17.2","0.3","6.7","0.2","6.1","0.2","66772","492","86610","677","(X)","(X)","38.6","(X)","(X)","(X)","893948","7459","1.5","0.1","1.3","0.1","4.5","0.2","6.7","0.2","11.3","0.3","19.6","0.3","16.8","0.3","21.6","0.3","8.7","0.2","8.1","0.2","82058","591","102291","813","(X)","(X)","(X)","(X)","(X)","(X)","653952","5379","15.6","0.4","11.1","0.3","17.8","0.4","13.5","0.4","14.1","0.3","14.2","0.4","6.5","0.3","4.8","0.2","1.2","0.1","1.2","0.1","28529","397","42194","657","(X)","(X)","(X)","(X)","35.1","(X)",
"0400000US02","Alaska","255173","1326","3.8","0.2","2.9","0.3","6.2","0.3","6.7","0.4","10.1","0.5","18.3","0.5","14.2","0.5","19.3","0.5","9.6","0.4","8.8","0.4","77790","1134","98811","1165","33.3","(X)","(X)","(X)","(X)","(X)","167815","1899","2.5","0.3","1.6","0.2","3.9","0.3","5.4","0.4","8.6","0.5","17.3","0.7","14.7","0.6","22.9","0.6","12.1","0.6","11.0","0.5","92648","1329","112443","1512","(X)","(X)","34.7","(X)","(X)","(X)","127312","1948","0.8","0.1","0.8","0.2","2.3","0.3","3.6","0.4","7.4","0.6","16.1","0.7","14.7","0.7","26.2","0.8","14.4","0.7","13.6","0.7","106410","1435","126479","1754","(X)","(X)","(X)","(X)","(X)","(X)","87358","1932","7.5","0.6","6.0","0.6","11.3","0.7","10.1","0.8","13.5","1.1","20.4","1.1","12.7","1.0","11.3","0.8","3.9","0.5","3.4","0.5","51651","1326","66220","1624","(X)","(X)","(X)","(X)","28.0","(X)",
"0400000US04","Arizona","2643430","6290","5.9","0.1","3.7","0.1","8.6","0.2","9.0","0.2","13.3","0.2","18.6","0.2","13.2","0.2","15.0","0.2","6.1","0.1","6.4","0.1","61529","286","84380","515","36.9","(X)","(X)","(X)","(X)","(X)","1720736","8674","3.9","0.1","2.1","0.1","6.2","0.2","7.6","0.2","12.1","0.2","19.1","0.2","14.8","0.2","18.2","0.2","7.8","0.2","8.1","0.1","73456","391","97003","632","(X)","(X)","38.3","(X)","(X)","(X)","1256731","9162","1.8","0.1","1.2","0.1","4.1","0.1","5.7","0.2","10.3","0.2","18.7","0.3","16.3","0.3","21.7","0.3","9.7","0.2","10.5","0.2","86678","469","111864","844","(X)","(X)","(X)","(X)","(X)","(X)","922694","7415","11.1","0.2","7.0","0.3","13.9","0.3","12.5","0.3","15.9","0.3","17.6","0.4","9.1","0.3","7.9","0.3","2.4","0.1","2.6","0.2","39829","429","56121","790","(X)","(X)","(X)","(X)","32.3","(X)",
"0400000US05","Arkansas","1170544","4411","7.4","0.2","5.6","0.2","11.9","0.2","11.3","0.2","14.1","0.3","18.4","0.3","11.6","0.2","11.7","0.2","4.0","0.2","4.0","0.2","49475","431","69357","648","37.3","(X)","(X)","(X)","(X)","(X)","770111","5118","4.4","0.2","2.9","0.2","8.3","0.3","10.1","0.3","13.8","0.3","20.1","0.3","14.3","0.3","15.3","0.3","5.4","0.2","5.3","0.2","62067","542","82767","937","(X)","(X)","37.9","(X)","(X)","(X)","564299","5139","1.4","0.1","1.4","0.1","5.6","0.3","8.0","0.3","12.8","0.4","21.1","0.4","16.8","0.4","19.0","0.5","7.0","0.3","6.9","0.3","74618","733","96214","1154","(X)","(X)","(X)","(X)","(X)","(X)","400433","4290","14.4","0.5","11.3","0.4","19.7","0.5","14.5","0.4","14.3","0.4","14.0","0.4","5.7","0.3","3.9","0.3","1.0","0.1","1.2","0.1","27792","523","40847","727","(X)","(X)","(X)","(X)","34.8","(X)",
"0400000US06","California","13103114","18542","4.7","0.1","3.9","0.1","6.9","0.1","7.1","0.1","10.0","0.1","15.3","0.1","12.3","0.1","17.1","0.1","9.4","0.1","13.3","0.1","78672","270","111622","320","37.6","(X)","(X)","(X)","(X)","(X)","8986666","23960","3.1","0.1","2.1","0.1","5.6","0.1","6.4","0.1","9.7","0.1","15.2","0.1","12.8","0.1","18.7","0.1","10.8","0.1","15.7","0.1","89798","376","124332","420","(X)","(X)","38.7","(X)","(X)","(X)","6510580","28316","1.4","0.1","1.1","0.1","3.8","0.1","4.8","0.1","8.0","0.1","13.9","0.1","13.0","0.1","20.8","0.1","13.0","0.1","20.1","0.1","107711","392","144339","492","(X)","(X)","(X)","(X)","(X)","(X)","4116448","12837","9.5","0.1","8.4","0.1","10.9","0.1","9.3","0.1","11.3","0.1","15.6","0.2","10.8","0.1","12.4","0.1","5.4","0.1","6.6","0.1","50894","236","76668","374","(X)","(X)","(X)","(X)","32.8","(X)",
"0400000US08","Colorado","2137402","4703","4.5","0.1","3.1","0.1","6.6","0.1","7.2","0.1","11.0","0.2","17.4","0.2","13.6","0.2","18.2","0.2","8.7","0.2","9.6","0.1","75231","379","100933","594","33.0","(X)","(X)","(X)","(X)","(X)","1358903","5475","2.4","0.1","1.6","0.1","3.9","0.1","5.4","0.2","9.4","0.2","16.6","0.3","14.8","0.3","21.9","0.3","11.3","0.2","12.8","0.2","92752","545","119073","762","(X)","(X)","33.4","(X)","(X)","(X)","1069666","6589","1.1","0.1","0.8","0.1","2.5","0.1","4.0","0.1","7.8","0.2","15.4","0.3","15.2","0.3","24.6","0.3","13.3","0.3","15.4","0.3","105271","582","132827","979","(X)","(X)","(X)","(X)","(X)","(X)","778499","5154","8.9","0.3","6.0","0.2","11.9","0.3","10.9","0.3","14.4","0.3","19.2","0.4","11.0","0.2","10.6","0.3","3.6","0.2","3.5","0.2","47627","467","65208","733","(X)","(X)","(X)","(X)","30.9","(X)",
"0400000US09","Connecticut","1385437","3268","4.9","0.2","3.4","0.1","6.8","0.2","6.9","0.2","10.0","0.2","15.4","0.2","12.2","0.2","17.6","0.3","9.6","0.2","13.2","0.2","79855","587","115337","745","36.4","(X)","(X)","(X)","(X)","(X)","902996","4503","2.7","0.2","1.6","0.1","4.2","0.2","5.1","0.2","8.3","0.2","14.3","0.3","12.6","0.3","21.0","0.4","12.3","0.2","17.8","0.3","102061","723","139506","1149","(X)","(X)","37.5","(X)","(X)","(X)","664429","5234","0.9","0.1","0.6","0.1","2.1","0.1","3.1","0.2","6.2","0.3","12.9","0.3","12.6","0.3","23.9","0.4","15.0","0.3","22.8","0.4","122282","919","163951","1425","(X)","(X)","(X)","(X)","(X)","(X)","482441","4473","9.7","0.4","7.1","0.3","12.5","0.4","10.7","0.4","13.5","0.4","17.5","0.5","11.0","0.4","10.4","0.3","3.7","0.2","3.8","0.2","45539","758","65681","974","(X)","(X)","(X)","(X)","32.7","(X)",
"0400000US10","Delaware","370953","1823","5.2","0.3","3.5","0.2","6.8","0.3","8.9","0.5","11.7","0.4","17.7","0.5","13.9","0.5","17.0","0.6","7.7","0.3","7.6","0.4","69110","1112","92308","1355","39.6","(X)","(X)","(X)","(X)","(X)","243012","2819","2.9","0.3","1.8","0.2","4.6","0.3","6.3","0.4","10.6","0.5","17.6","0.6","15.3","0.6","21.0","0.8","9.9","0.4","10.0","0.5","84825","964","107809","1562","(X)","(X)","39.8","(X)","(X)","(X)","178030","2862","1.3","0.2","0.8","0.2","2.5","0.3","4.0","0.4","8.6","0.5","17.0","0.8","16.3","0.7","24.7","1.0","12.2","0.6","12.6","0.7","98979","1988","123242","2018","(X)","(X)","(X)","(X)","(X)","(X)","127941","2863","10.4","0.7","7.0","0.5","12.0","0.7","14.3","1.2","14.5","0.8","18.1","0.8","10.5","0.8","8.1","0.7","2.8","0.3","2.4","0.4","41157","977","57350","1628","(X)","(X)","(X)","(X)","37.8","(X)",
"0400000US11","District of Columbia","288307","1319","8.4","0.5","3.9","0.3","5.4","0.3","5.5","0.4","7.2","0.5","12.4","0.6","10.6","0.5","16.4","0.6","10.3","0.5","19.8","0.5","90842","1580","133587","2032","30.4","(X)","(X)","(X)","(X)","(X)","123496","2351","5.8","0.6","2.7","0.4","4.8","0.5","4.9","0.6","6.8","0.7","9.9","0.7","8.5","0.6","14.2","0.9","11.9","0.7","30.4","0.8","120337","3493","173874","3283","(X)","(X)","35.4","(X)","(X)","(X)","75305","1770","1.1","0.3","0.5","0.3","1.9","0.4","2.0","0.4","3.5","0.5","6.2","0.6","7.2","0.7","15.6","1.2","15.4","1.0","46.5","1.3","187153","4379","236954","5129","(X)","(X)","(X)","(X)","(X)","(X)","164811","2605","10.5","0.8","4.9","0.4","6.1","0.5","6.1","0.5","7.8","0.6","14.4","0.7","12.5","0.7","17.8","0.9","9.0","0.7","10.9","0.7","75477","1889","100305","2413","(X)","(X)","(X)","(X)","26.0","(X)",
