State,EBT,Cash,Emergency Allotment,Fiscal Year
Alabama,730708,nan,291265,2020
Alaska,83194,nan,73078,2020
Arizona,833448,nan,486024,2020
Arkansas,393091,nan,263301,2020
California,4312002,nan,2569589,2020
Colorado,483097,nan,305811,2020
Connecticut,372305,nan,218332,2020
Delaware,120416,nan,79238,2020
District of Columbia,116406,nan,75864,2020
Florida,3177286,nan,1275584,2020
Georgia,1565935,nan,1005620,2020
Guam,44041,nan,28109,2020
Hawaii,165418,nan,137717,2020
Idaho,146497,nan,92728,2020
Illinois,1869977,nan,850233,2020
Indiana,601417,nan,409418,2020
Iowa,305045,nan,182737,2020
Kansas,200443,nan,71080,2020
Kentucky,555425,nan,411002,2020
Louisiana,820192,nan,564462,2020
Maine,159995,nan,93847,2020
Maryland,700979,nan,479153,2020
Massachusetts,821254,nan,407823,2020
Michigan,1254475,nan,517518,2020
Minnesota,409275,20907,332806,2020
Mississippi,429568,nan,304817,2020
Missouri,715447,nan,456588,2020
Montana,104391,nan,68274,2020
Nebraska,157091,nan,104448,2020
Nevada,448688,nan,287669,2020
New Hampshire,72505,nan,52075,2020
New Jersey,700538,nan,477252,2020
New Mexico,468745,nan,305862,2020
New York,2658439,nan,1540027,2020
North Carolina,1317566,nan,702614,2020
North Dakota,46092,nan,27143,2020
Ohio,1396860,10511,996887,2020
Oklahoma,596705,nan,358330,2020
Oregon,635485,38005,379337,2020
Pennsylvania,1794613,nan,1132997,2020
Rhode Island,146183,nan,50959,2020
South Carolina,596161,nan,409531,2020
South Dakota,78245,nan,47346,2020
Tennessee,868550,nan,591672,2020
Texas,3551011,nan,2625402,2020
Utah,164041,1389,104117,2020
Vermont,68568,16356,39499,2020
Virginia,730370,nan,491245,2020
Virgin Islands,22520,nan,14838,2020
Washington,870997,nan,571372,2020
West Virginia,306218,nan,100505,2020
Wisconsin,647376,nan,396305,2020
Wyoming,26928,nan,19275,2020
U.S.,39862221,87168,13873932 ,2020
Alabama,850075,nan,639837,2021
Alaska,85589,nan,48748,2021
Arizona,1146756,nan,649446,2021
Arkansas,403525,nan,278933,2021
California,4776502,nan,3275071,2021
Colorado,578276,nan,381070,2021
Connecticut,440809,nan,304600,2021
Delaware,153683,nan,94200,2021
District of Columbia,172798,nan,115955,2021
Florida,3585145,nan,2379752,2021
Georgia,1640618,nan,1243771,2021
Guam,41897,nan,29545,2021
Hawaii,210709,nan,164657,2021
Idaho,139169,nan,90289,2021
Illinois,2604676,nan,1556928,2021
Indiana,857538,nan,554178,2021
Iowa,426947,nan,249413,2021
Kansas,214066,nan,167509,2021
Kentucky,804762,nan,482844,2021
Louisiana,1045746,nan,656584,2021
Maine,181084,nan,138195,2021
Maryland,1051661,nan,621930,2021
Massachusetts,1442343,nan,708353,2021
Michigan,1563167,nan,1049535,2021
Minnesota,555749,21099,397834,2021
Mississippi,418451,nan,378190,2021
Missouri,727165,nan,470787,2021
Montana,119567,nan,82757,2021
Nebraska,192419,nan,128977,2021
Nevada,486919,nan,366920,2021
New Hampshire,80509,nan,60462,2021
New Jersey,953093,nan,697365,2021
New Mexico,683741,nan,433954,2021
New York,2905523,nan,2206510,2021
North Carolina,2047522,nan,1194122,2021
North Dakota,56040,nan,26486,2021
Ohio,2730842,9804,1053056,2021
Oklahoma,642594,nan,386834,2021
Oregon,761017,38595,546108,2021
Pennsylvania,2136932,nan,1463131,2021
Rhode Island,198367,nan,117719,2021
South Carolina,819897,nan,523577,2021
South Dakota,76437,nan,52459,2021
Tennessee,1307177,nan,757960,2021
Texas,3731545,nan,3038797,2021
Utah,226769,1415,162797,2021
Vermont,58082,16496,51754,2021
Virginia,1169609,nan,657602,2021
Virgin Islands,26137,nan,19746,2021
Washington,1113836,nan,763717,2021
West Virginia,418893,nan,254179,2021
Wisconsin,821209,nan,653737,2021
Wyoming,29125,nan,25708,2021
U.S.,49912704,87409,32676634 ,2021
Alabama,761074,nan,758801,2022
Alaska,92119,nan,10924,2022
Arizona,825666,nan,429271,2022
Arkansas,280390,nan,0,2022
California,4627738,nan,4602580,2022
Colorado,540299,nan,491136,2022
Connecticut,375361,nan,370445,2022
Delaware,118842,nan,117467,2022
District of Columbia,145805,nan,144876,2022
Florida,2847086,nan,0,2022
Georgia,1608203,nan,1604476,2022
Guam,36150,nan,35498,2022
Hawaii,169014,nan,169014,2022
Idaho,124078,nan,0,2022
Illinois,1981714,nan,1941063,2022
Indiana,617630,nan,414926,2022
Iowa,278827,nan,282166,2022
Kansas,195799,nan,193869,2022
Kentucky,540473,nan,315175,2022
Louisiana,816513,nan,421281,2022
Maine,162159,nan,160464,2022
Maryland,772731,nan,737291,2022
Massachusetts,1024442,nan,1003265,2022
Michigan,1349306,nan,1329071,2022
Minnesota,435910,20378,408561,2022
Mississippi,413651,nan,428532,2022
Missouri,657870,nan,103,2022
Montana,89167,nan,0,2022
Nebraska,155550,nan,0,2022
Nevada,455231,nan,434443,2022
New Hampshire,69343,nan,69248,2022
New Jersey,857214,nan,798164,2022
New Mexico,518633,nan,516909,2022
New York,2839326,nan,2772581,2022
North Carolina,1599917,nan,1587304,2022
North Dakota,47417,nan,0,2022
Ohio,1491294,9187,1429485,2022
Oklahoma,650640,nan,369744,2022
Oregon,718580,39634,689077,2022
Pennsylvania,1845636,nan,1806410,2022
Rhode Island,139362,nan,137237,2022
South Carolina,618978,nan,616779,2022
South Dakota,71012,nan,0,2022
Tennessee,825338,nan,127590,2022
Texas,3440726,nan,3407905,2022
Utah,156291,1466,156291,2022
Vermont,69483,17158,58950,2022
Virginia,794646,nan,788894,2022
Virgin Islands,22215,nan,22200,2022
Washington,874543,nan,864575,2022
West Virginia,310879,nan,306190,2022
Wisconsin,708238,nan,708238,2022
Wyoming,30178,nan,19487,2022
U.S.,41198679,87824,34057952 ,2022
